filename,solc_version,exit_status,duration_s,reentrancy,overflow,timestamp,tod
40749.sol,N/A,N/A,1.61,1,-1,-1,-1
40750.sol,N/A,FN,1.17,1,-1,0,-1
40751.sol,N/A,FN,1.21,1,-1,0,-1
40752.sol,N/A,FP,1.35,1,-1,-1,-1
40753.sol,N/A,FN,1.17,1,-1,0,-1
40754.sol,N/A,FN,1.21,1,-1,0,-1
40755.sol,N/A,FN,1.2,1,-1,0,-1
40756.sol,N/A,TN,1.51,1,-1,0,-1
40757.sol,N/A,FN,1.19,1,-1,0,-1
40758.sol,N/A,TP,1.68,1,-1,-1,-1
40759.sol,N/A,FP,1.52,1,-1,-1,-1
40760.sol,N/A,N/A,1.24,1,-1,-1,-1
40761.sol,N/A,TP,1.9,1,-1,-1,-1
40762.sol,N/A,TP,2.15,1,-1,-1,-1
40763.sol,N/A,FP,1.3,1,-1,-1,-1
40764.sol,N/A,TP,1.87,1,-1,-1,-1
40765.sol,N/A,TP,1.69,1,-1,-1,-1
40766.sol,N/A,TN,1.32,0,-1,-1,-1
40768.sol,N/A,N/A,1.78,0,-1,-1,-1
40770.sol,N/A,N/A,1.24,1,-1,-1,-1
40771.sol,N/A,FP,1.34,1,-1,-1,-1
40772.sol,N/A,TP,1.31,1,-1,-1,-1
40774.sol,N/A,FP,1.3,1,-1,-1,-1
40775.sol,N/A,TP,1.32,1,-1,-1,-1
40776.sol,N/A,TP,1.51,1,-1,-1,-1
40777.sol,N/A,TP,1.8,1,-1,-1,-1
40778.sol,N/A,FP,1.39,1,-1,-1,-1
40779.sol,N/A,TP,1.82,1,-1,-1,-1
40780.sol,N/A,N/A,1.22,1,-1,-1,-1
40781.sol,N/A,TP,1.44,1,-1,-1,-1
40782.sol,N/A,FP,1.36,1,-1,-1,-1
40783.sol,N/A,FP,1.37,1,-1,-1,-1
40784.sol,N/A,TP,1.39,1,-1,-1,-1
40785.sol,N/A,TP,1.26,1,-1,-1,-1
40786.sol,N/A,FP,1.28,1,-1,-1,-1
40787.sol,N/A,TP,1.31,1,-1,-1,-1
40788.sol,N/A,FP,1.41,1,-1,-1,-1
40789.sol,N/A,TP,1.27,1,-1,-1,-1
419.sol,N/A,TN,1.42,-1,-1,0,-1
42.sol,N/A,TN,1.39,-1,-1,0,-1
4225.sol,N/A,FN,1.16,-1,-1,0,-1
44.sol,N/A,FN,1.17,-1,-1,0,-1
4467.sol,N/A,FN,1.22,-1,-1,0,-1
4474.sol,N/A,FN,1.15,-1,-1,0,-1
4523.sol,N/A,FN,1.19,-1,-1,0,-1
4524.sol,N/A,FN,1.18,-1,-1,0,-1
4587.sol,N/A,TN,1.43,-1,-1,0,-1
4588.sol,N/A,TN,1.44,-1,-1,0,-1
4590.sol,N/A,FN,1.28,-1,-1,0,-1
4598.sol,N/A,N/A,1.45,-1,-1,-1,-1
4717.sol,N/A,TN,1.45,-1,-1,0,-1
4832.sol,N/A,N/A,1.27,-1,-1,-1,-1
