filename,vulnerability,ground_truth,osiris_flagged,solc_version,exit_code,status,duration_s
30925.sol,timestamp,0,0,0.4.21,0,TN,0.27
30939.sol,timestamp,0,0,0.4.21,0,TN,50.58
30963.sol,timestamp,0,0,0.4.21,0,TN,0.35
30976.sol,timestamp,0,0,0.4.21,0,TN,0.26
31551.sol,timestamp,0,0,0.4.21,0,TN,0.43
3185.sol,timestamp,0,0,0.4.21,0,TN,0.25
31867.sol,timestamp,0,0,0.4.21,0,TN,0.52
31892.sol,timestamp,0,0,0.4.21,0,TN,0.27
33217.sol,timestamp,0,0,0.4.21,0,TN,0.3
33575.sol,timestamp,0,1,0.4.21,0,FP,0.51
33638.sol,timestamp,0,0,0.4.21,0,TN,0.24
33711.sol,timestamp,0,0,0.4.21,0,TN,0.3
33974.sol,timestamp,0,0,0.4.21,0,TN,0.28
34068.sol,timestamp,0,1,0.4.21,0,FP,0.32
34272.sol,timestamp,0,0,0.4.21,0,TN,0.29
34442.sol,timestamp,0,0,0.4.21,0,TN,0.29
34575.sol,timestamp,0,0,0.4.21,0,TN,0.28
34725.sol,timestamp,0,0,0.4.21,0,TN,0.29
35257.sol,timestamp,0,0,0.4.21,0,TN,53.19
35268.sol,timestamp,0,1,0.4.21,0,FP,0.35
35285.sol,timestamp,0,0,0.4.21,0,TN,0.25
35322.sol,timestamp,0,1,0.4.21,0,FP,0.35
35358.sol,timestamp,0,0,0.4.21,0,TN,0.4
3554.sol,timestamp,0,0,0.4.21,0,TN,0.26
3555.sol,timestamp,0,0,0.4.21,0,TN,0.24
35551.sol,timestamp,0,0,0.4.21,0,TN,0.28
35897.sol,timestamp,0,0,0.4.21,0,TN,0.31
36451.sol,timestamp,0,0,0.4.21,0,TN,0.24
3654.sol,timestamp,0,0,0.4.21,0,TN,0.27
36737.sol,timestamp,0,0,0.4.21,0,TN,0.32
36852.sol,timestamp,0,0,0.4.21,0,TN,2.63
37017.sol,timestamp,0,1,0.4.21,0,FP,0.31
37274.sol,timestamp,0,0,0.4.21,0,TN,0.3
37390.sol,timestamp,0,0,0.4.21,0,TN,0.26
37514.sol,timestamp,0,0,0.4.21,0,TN,0.34
37683.sol,timestamp,0,0,0.4.21,0,TN,0.93
37684.sol,timestamp,0,0,0.4.21,0,TN,0.45
3772.sol,timestamp,0,0,0.4.21,0,TN,0.26
38096.sol,timestamp,0,0,0.4.21,0,TN,0.41
38239.sol,timestamp,0,1,0.4.21,0,FP,0.3
38421.sol,timestamp,0,0,0.4.21,0,TN,0.29
38709.sol,timestamp,0,0,0.4.21,0,TN,32.48
38727.sol,timestamp,0,0,0.4.21,0,TN,0.28
38888.sol,timestamp,0,0,0.4.21,0,TN,0.28
38925.sol,timestamp,0,0,0.4.21,0,TN,0.25
38983.sol,timestamp,0,0,0.4.21,0,TN,0.41
39091.sol,timestamp,0,1,0.4.21,0,FP,0.29
39095.sol,timestamp,0,1,0.4.21,0,FP,0.29
39114.sol,timestamp,0,0,0.4.21,0,TN,0.3
39425.sol,timestamp,0,0,0.4.21,0,TN,1.37
3952.sol,timestamp,0,0,0.4.21,0,COMPILE_ERROR,0.15
39559.sol,timestamp,0,0,0.4.21,0,TN,38.62
39583.sol,timestamp,0,0,0.4.21,0,TN,23.51
39631.sol,timestamp,0,0,0.4.21,0,TN,0.33
39845.sol,timestamp,0,0,0.4.21,0,TN,0.32
40154.sol,timestamp,0,0,0.4.21,0,TN,0.51
40155.sol,timestamp,0,1,0.4.21,0,FP,0.36
40252.sol,timestamp,0,1,0.4.21,0,FP,0.31
40419.sol,timestamp,0,0,0.4.21,0,TN,13.29
40497.sol,timestamp,0,0,0.4.21,0,TN,22.94
40535.sol,timestamp,0,0,0.4.21,0,TN,0.4
40539.sol,timestamp,0,0,0.4.21,0,TN,0.41
40587.sol,timestamp,0,0,0.4.21,0,TN,0.32
40665.sol,timestamp,0,0,0.4.21,0,TN,0.3
40735.sol,timestamp,0,0,0.4.21,0,TN,5.94
40737.sol,timestamp,0,0,0.4.21,0,TN,3.24
40739.sol,timestamp,0,0,0.4.21,0,COMPILE_ERROR,0.16
40740.sol,timestamp,0,0,0.4.21,0,TN,0.46
40741.sol,timestamp,0,0,0.4.21,0,TN,0.3
40742.sol,timestamp,0,0,0.4.21,0,TN,14.07
40743.sol,timestamp,0,0,0.4.21,0,TN,0.37
40744.sol,timestamp,0,0,0.4.21,0,TN,0.25
40747.sol,timestamp,0,0,0.4.21,0,TN,0.42
40756.sol,timestamp,0,0,0.4.21,0,TN,0.31
419.sol,timestamp,0,0,0.4.21,0,TN,0.32
42.sol,timestamp,0,0,0.4.21,0,TN,0.31
4587.sol,timestamp,0,0,0.4.21,0,TN,0.25
4588.sol,timestamp,0,0,0.4.21,0,TN,0.28
4717.sol,timestamp,0,0,0.4.21,0,TN,0.25
4882.sol,timestamp,0,0,0.4.21,0,TN,0.31
4922.sol,timestamp,0,0,0.4.21,0,TN,0.31
496.sol,timestamp,0,0,0.4.21,0,TN,0.27
4993.sol,timestamp,0,0,0.4.21,0,TN,0.27
50001.sol,timestamp,0,0,0.4.21,0,TN,0.27
50221.sol,timestamp,0,1,0.4.21,0,FP,0.29
5132.sol,timestamp,0,0,0.4.21,0,TN,0.26
5259.sol,timestamp,0,0,0.4.21,0,TN,0.26
578.sol,timestamp,0,0,0.4.21,0,TN,0.42
6149.sol,timestamp,0,0,0.4.21,0,TN,0.25
6199.sol,timestamp,0,0,0.4.21,0,TN,51.27
6272.sol,timestamp,0,0,0.4.21,0,TN,0.31
6348.sol,timestamp,0,0,0.4.21,0,TN,0.24
650.sol,timestamp,0,0,0.4.21,0,TN,0.26
6534.sol,timestamp,0,0,0.4.21,0,TN,0.27
711.sol,timestamp,0,0,0.4.21,0,TN,0.36
737.sol,timestamp,0,0,0.4.21,0,TN,0.27
738.sol,timestamp,0,0,0.4.21,0,TN,0.3
740.sol,timestamp,0,0,0.4.21,0,TN,0.26
798.sol,timestamp,0,0,0.4.21,0,TN,0.44
8025.sol,timestamp,0,0,0.4.21,0,TN,0.3
8026.sol,timestamp,0,0,0.4.21,0,TN,0.27
8099.sol,timestamp,0,0,0.4.21,0,TN,27.31
8141.sol,timestamp,0,0,0.4.21,0,TN,0.23
8826.sol,timestamp,0,0,0.4.21,0,TN,0.27
9428.sol,timestamp,0,0,0.4.21,0,TN,0.26
9560.sol,timestamp,0,0,0.4.21,0,TN,0.25
9820.sol,timestamp,0,0,0.4.21,0,TN,0.24
1014.sol,timestamp,1,0,0.4.21,0,FN,0.27
10146.sol,timestamp,1,0,0.4.21,0,FN,0.25
10295.sol,timestamp,1,0,0.4.21,0,FN,7.67
10369.sol,timestamp,1,0,0.4.21,0,FN,0.53
1057.sol,timestamp,1,0,0.4.21,0,COMPILE_ERROR,0.15
10736.sol,timestamp,1,0,0.4.21,0,FN,0.33
11064.sol,timestamp,1,0,0.4.21,0,FN,0.26
1115.sol,timestamp,1,0,0.4.21,0,FN,2.32
11243.sol,timestamp,1,0,0.4.21,0,FN,0.25
11457.sol,timestamp,1,0,0.4.21,0,FN,0.28
1182.sol,timestamp,1,0,0.4.21,0,FN,0.33
1183.sol,timestamp,1,0,0.4.21,0,FN,0.3
11931.sol,timestamp,1,0,0.4.21,0,FN,0.25
1226.sol,timestamp,1,0,0.4.21,0,FN,10.78
